image_path,category,lbp_hist_1,lbp_hist_2,lbp_hist_3,lbp_hist_4,lbp_hist_5,lbp_hist_6,lbp_hist_7,lbp_hist_8,lbp_hist_9,lbp_hist_10,lbp_hist_11,lbp_hist_12,lbp_hist_13,lbp_hist_14,lbp_hist_15,lbp_hist_16,lbp_hist_17,lbp_hist_18,lbp_hist_19,lbp_hist_20,lbp_hist_21,lbp_hist_22,lbp_hist_23,lbp_hist_24,lbp_hist_25,lbp_hist_26,hog_mean,hog_std,hog_median,hog_min,hog_max,hog_feature_1,hog_feature_2,hog_feature_3,hog_feature_4,hog_feature_5,hog_feature_6,hog_feature_7,hog_feature_8,hog_feature_9,hog_feature_10,hog_feature_11,hog_feature_12,hog_feature_13,hog_feature_14,hog_feature_15,hog_feature_16,hog_feature_17,hog_feature_18,hog_feature_19,hog_feature_20,hog_feature_21,hog_feature_22,hog_feature_23,hog_feature_24,hog_feature_25,hog_feature_26,hog_feature_27,hog_feature_28,hog_feature_29,hog_feature_30,hog_feature_31,hog_feature_32,hog_feature_33,hog_feature_34,hog_feature_35,hog_feature_36,hog_feature_37,hog_feature_38,hog_feature_39,hog_feature_40,hog_feature_41,hog_feature_42,hog_feature_43,hog_feature_44,hog_feature_45,hog_feature_46,hog_feature_47,hog_feature_48,hog_feature_49,hog_feature_50,hog_pixel_1,hog_pixel_2,hog_pixel_3,hog_pixel_4,hog_pixel_5,hog_pixel_6,hog_pixel_7,hog_pixel_8,hog_pixel_9,hog_pixel_10,hog_pixel_11,hog_pixel_12,hog_pixel_13,hog_pixel_14,hog_pixel_15,hog_pixel_16,hog_pixel_17,hog_pixel_18,hog_pixel_19,hog_pixel_20,hog_pixel_21,hog_pixel_22,hog_pixel_23,hog_pixel_24,hog_pixel_25,hog_pixel_26,hog_pixel_27,hog_pixel_28,hog_pixel_29,hog_pixel_30,hog_pixel_31,hog_pixel_32,hog_pixel_33,hog_pixel_34,hog_pixel_35,hog_pixel_36,hog_pixel_37,hog_pixel_38,hog_pixel_39,hog_pixel_40,hog_pixel_41,hog_pixel_42,hog_pixel_43,hog_pixel_44,hog_pixel_45,hog_pixel_46,hog_pixel_47,hog_pixel_48,hog_pixel_49,hog_pixel_50,hog_pixel_51,hog_pixel_52,hog_pixel_53,hog_pixel_54,hog_pixel_55,hog_pixel_56,hog_pixel_57,hog_pixel_58,hog_pixel_59,hog_pixel_60,hog_pixel_61,hog_pixel_62,hog_pixel_63,hog_pixel_64,hog_pixel_65,hog_pixel_66,hog_pixel_67,hog_pixel_68,hog_pixel_69,hog_pixel_70,hog_pixel_71,hog_pixel_72,hog_pixel_73,hog_pixel_74,hog_pixel_75,hog_pixel_76,hog_pixel_77,hog_pixel_78,hog_pixel_79,hog_pixel_80,hog_pixel_81,hog_pixel_82,hog_pixel_83,hog_pixel_84,hog_pixel_85,hog_pixel_86,hog_pixel_87,hog_pixel_88,hog_pixel_89,hog_pixel_90,hog_pixel_91,hog_pixel_92,hog_pixel_93,hog_pixel_94,hog_pixel_95,hog_pixel_96,hog_pixel_97,hog_pixel_98,hog_pixel_99,hog_pixel_100
dataset\ampul\ampul 1.png,ampul,0.010354938271604937,0.004228395061728395,0.005424382716049383,0.005007716049382716,0.004560185185185185,0.004182098765432099,0.003927469135802469,0.004598765432098765,0.0048919753086419755,0.005841049382716049,0.007345679012345679,0.013580246913580247,0.021589506172839504,0.020717592592592593,0.0077546296296296295,0.006126543209876543,0.0047299382716049386,0.004637345679012346,0.004205246913580247,0.004575617283950617,0.004853395061728395,0.004521604938271605,0.004683641975308642,0.0035339506172839506,0.7683410493827161,0.06578703703703703,0.03457610581122982,0.08651617455242848,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.04481596075244703,0.3551874527691543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2868092115083427,0.2171838714971727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040803607725496925,0.07551217358138332,0.16824935173969183,0.10051795603166401,0.0,0.0,0.0,0.0,0.0,0.0,0.12097983068274656,0.195142030492893,0.26851066012786945,0.013952010735370305,0.0,0.0,0.0,0.0,0.0,0.0,0.07655512963599767,0.10131546037337472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10660967028993819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09897026232445794,0.0,0.0,0.2649972192577404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4439625654099534,0.0,0.0,0.3450179801531925,0.0,0.0,0.19688881977029926,0.0,0.2639450310490071,0.0,0.0,0.49447370540294555,0.0,0.0,0.25862743412521005,0.0,0.0,0.6997314586243686,0.0,0.4821666987516328,0.0,0.0,0.30737790095627643,0.0,0.0,0.054745081788580015,0.0,0.0,0.6898195369778964,0.0,0.45097480636946685,0.0,0.0,0.3531761041482655,0.0,0.0,0.08894211100000686,0.0,0.0,0.30651642198131435,0.0,0.46036095075307804,0.0,0.0,0.099745188137489,0.0,0.0,0.17467928064736649,0.0,0.0,0.0030858078194191535,0.0,0.21348681275788525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset\ampul\ampul 11.png,ampul,0.0024691358024691358,0.0023901234567901236,0.003219753086419753,0.0024098765432098764,0.0013234567901234569,0.0009876543209876543,0.001145679012345679,0.0010074074074074074,0.001382716049382716,0.0016395061728395062,0.003140740740740741,0.006913580246913581,0.012720987654320988,0.008987654320987654,0.004009876543209876,0.002962962962962963,0.002291358024691358,0.0015407407407407407,0.0008296296296296296,0.0010271604938271604,0.0006320987654320988,0.0006518518518518518,0.000908641975308642,0.0015802469135802468,0.9120987654320988,0.021728395061728394,0.014501172441354775,0.06859391541100858,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007429418801680996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07461927092117975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18824521936607538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05126604536792823,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5758120670056246,0.0,0.0,0.0,0.0,0.0,0.0,0.45474602020867066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4015552531108524,0.0,0.0
dataset\ampul\ampul 12.png,ampul,0.00886574074074074,0.0036882716049382717,0.004367283950617284,0.004174382716049383,0.004189814814814815,0.0037114197530864197,0.004012345679012346,0.004567901234567902,0.005030864197530864,0.006280864197530864,0.008148148148148147,0.01650462962962963,0.025455246913580247,0.022260802469135803,0.009922839506172839,0.007376543209876543,0.006095679012345679,0.005416666666666667,0.004050925925925926,0.0035956790123456792,0.003927469135802469,0.00415895061728395,0.004112654320987654,0.002808641975308642,0.7689969135802469,0.05827932098765432,0.03358308138128314,0.08764624594527981,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.005608906713980248,0.046260497669229114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11249281667649828,0.12310972586333226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12741756883474628,0.007441583609334245,0.07608088054347555,0.0,0.0,0.0,0.0,0.0,0.0,0.15786534934395355,0.15100680438344677,0.08038533460236594,0.03792048843646944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17088178669473034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1655328766585376,0.0,0.4694661516710241,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17652552013054446,0.0,0.0,0.5104989437519046,0.0,0.0,0.08978548105217823,0.0,1.0,0.0,0.0,0.5556922366414038,0.0,0.0,0.30559750042001355,0.0,0.0,0.5521271967657716,0.0,1.0,0.0,0.0,0.40910245595753203,0.0,0.0,0.5186531880027847,0.0,0.0,0.5489159701559694,0.0,0.7448264454141386,0.0,0.0,0.3136891257211323,0.0,0.0,0.2484423053216774,0.0,0.0,0.5347654011391163,0.0,0.41097213243176334,0.0,0.0,0.16250957030880003,0.0,0.0,0.38328204151943646,0.0,0.0,0.6281015467948385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset\ampul\ampul 13.png,ampul,0.002208,0.001072,0.001296,0.001156,0.001076,0.00112,0.001064,0.001104,0.001404,0.00138,0.002008,0.003692,0.007884,0.005792,0.002432,0.001924,0.00176,0.001452,0.001192,0.001084,0.00104,0.001068,0.000984,0.000744,0.93986,0.014204,0.009260870254049914,0.050933493431717165,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44406698175130105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6714564034047373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08688801442848279,0.12021043405374082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset\ampul\ampul 14.png,ampul,0.010903703703703704,0.00537283950617284,0.005629629629629629,0.0052938271604938275,0.005925925925925926,0.004207407407407407,0.003634567901234568,0.006933333333333333,0.00985679012345679,0.01157530864197531,0.009441975308641975,0.016079012345679013,0.02494814814814815,0.051693827160493824,0.012424691358024691,0.01576296296296296,0.010449382716049383,0.01517037037037037,0.006044444444444444,0.00537283950617284,0.005511111111111111,0.0076049382716049385,0.006597530864197531,0.005491358024691358,0.6534123456790123,0.08466172839506172,0.055216884636757425,0.11630267767601003,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38626975335185365,0.0,0.11385499571538496,0.0,0.11736426133577386,0.28368334461096034,0.3212684006848647,0.11462674039350951,0.0,0.06257010239428046,0.0,0.003409194075533335,0.0,0.06599464846419724,0.08408947772121043,0.0,0.0,0.0,0.2577571652889171,0.0,0.0,0.0,0.0,0.05294453964472974,0.13269461820569808,0.04330627323206661,0.017685030279930004,0.0,0.0,0.149542922690798,0.0,0.09583804547289776,0.0,0.031360442209362106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7964171325167688,0.0,0.0,0.0,1.0,0.0,0.0,0.7457429423446835,0.4605730355691595,0.0,0.0,0.5651971609225585,0.0,0.0,0.0,0.17533633525621356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2622200914605656,0.0,0.1389907638139651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046772799366400324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397722667003393,0.0,0.08651133140795395,0.0,0.0,0.0,0.0,0.4257287604059291,0.0,0.0,0.5872472564499555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset\ampul\ampul 15.png,ampul,0.007968206263840557,0.004725561531161025,0.005714172730148687,0.005200094906675103,0.005674628282189181,0.005733944954128441,0.007216861752609933,0.007750711800063271,0.010340873141410946,0.011369028788358115,0.01939655172413793,0.03784403669724771,0.07157545080670674,0.04593087630496678,0.01828930718127175,0.009787250869977854,0.005180322682695349,0.0037567225561531163,0.003242644732679532,0.003084466940841506,0.002946061372983233,0.0024319835495096487,0.0025506168933881685,0.003084466940841506,0.6425379626700412,0.056667193925972796,0.051175407554585724,0.11529201973712082,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.05938728988387113,0.0,0.0,0.0,0.0,0.06716370046386076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08733074918376145,0.008849823260822325,0.0,0.0,0.0,0.0,0.0,0.032201818227194264,0.0,0.0,0.0,0.0,0.28127850442589225,0.0,0.00852749349413865,0.05056776198658465,0.0,0.0,0.0,0.006893194777710478,0.0,0.0,0.0,0.0,0.0,0.0,0.008071362632345343,0.0,0.03459982916584462,0.0,0.0,0.0,0.0,0.0,0.0,0.20513843413536714,0.0,0.0,0.8535220874459071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1825690330597733,0.0,0.0,0.9036320822311655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06047434865507781,0.0,0.0,0.0,0.0,0.0,0.07844812267612958,0.07248057133554958,0.0,0.0,0.6896909009359569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4230521054588292,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2929908020513641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37056154974732014,0.03427229318410821,0.0
dataset\ampul\ampul 16.png,ampul,0.012272639938516716,0.006596644037402331,0.00915444472908928,0.007933585244011785,0.007885551428205457,0.007813500704495964,0.008129723325220956,0.010771583194568977,0.01380171640835148,0.0185690726271295,0.02452926860509799,0.03869123863199692,0.055983412322274884,0.04939877673882413,0.025626040732675805,0.019725887024465222,0.01481042654028436,0.012696938644805943,0.009714839246829768,0.008694120660945305,0.007921576790060203,0.007617362623286794,0.0069448892019982065,0.005155629563212502,0.5208786986038171,0.08868243243243243,0.06798920042291084,0.11596688960860774,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41398886394650064,0.14285519429994986,0.0,0.0,0.3467281380567569,0.0,0.0,0.0,0.06748211117033757,0.053842262531948404,0.30674248328589154,0.0,0.26590061409543353,0.11335133800887442,0.044129797022860254,0.29499585109200954,0.16734893956425917,0.0,0.0,0.0,0.11569089781028818,0.029930036770580176,0.19217450482998163,0.009475360230429154,0.0,0.05427032778717592,0.05011167564508266,0.2677714330898038,0.16444965268721368,0.0,0.0,0.320135828496629,0.13832748104707335,0.3013023865616855,0.0637157998015458,0.0,0.0,0.015597745920911727,0.049370449719709136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15585383582422305,0.0,0.0,0.11332971290594619,0.0,0.8347928042977664,0.0,0.025567339415260307,0.0,0.38096023272570295,0.07696170645424458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1117273413491863,0.0,0.01256203206805926,0.0,0.0,0.0,0.13036951588236514,0.0,0.5067805131415433,0.09734770070494576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016623444885594106,0.0,0.15941200389111565,0.20781203989547647,0.0,0.10666465489137689,0.0,0.0,0.20011978489955698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9257346638005632,0.0,0.04377758353186571,0.40658092127797796,0.0,0.0,0.0,0.3383281592155837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset\ampul\ampul 17.png,ampul,0.008217592592592592,0.0038117283950617285,0.004220679012345679,0.0038503086419753086,0.003441358024691358,0.0034567901234567903,0.0033179012345679014,0.004027777777777778,0.004436728395061728,0.005555555555555556,0.007577160493827161,0.013834876543209876,0.026604938271604938,0.01662037037037037,0.007013888888888889,0.0049151234567901235,0.004143518518518519,0.0035416666666666665,0.0035956790123456792,0.0037962962962962963,0.0031790123456790125,0.003248456790123457,0.0026311728395061727,0.0019212962962962964,0.8079166666666666,0.04512345679012346,0.03207599798426461,0.09226357594658315,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1742581481262487,0.0,0.045501786230927335,0.3131262802708868,0.4256885690035992,0.07715265540947928,0.0,0.0910871799482725,0.0,0.0,0.01616077551168583,0.0,0.338683259994906,0.03685490211726092,0.0,0.1559934477760943,0.0,0.3252614330958092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23776276067570096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08228332527138368,0.0,0.27535612106071594,0.0,0.296878307290442,0.0,0.0,0.0,0.0,0.0,0.0,0.3697706537108899,0.0,0.8529104333187048,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.19673188798643199,0.0,0.3200802393124561,1.0,0.0,0.0,0.0,0.0,0.0,0.27060128533209715,0.0,0.689433296603567,0.0,0.0,0.16796715133558648,0.0,0.0,0.0,0.0,0.0,0.8452280952761921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset\ampul\ampul 18.png,ampul,0.012272639938516716,0.006596644037402331,0.00915444472908928,0.007933585244011785,0.007885551428205457,0.007813500704495964,0.008129723325220956,0.010771583194568977,0.01380171640835148,0.0185690726271295,0.02452926860509799,0.03869123863199692,0.055983412322274884,0.04939877673882413,0.025626040732675805,0.019725887024465222,0.01481042654028436,0.012696938644805943,0.009714839246829768,0.008694120660945305,0.007921576790060203,0.007617362623286794,0.0069448892019982065,0.005155629563212502,0.5208786986038171,0.08868243243243243,0.06798920042291084,0.11596688960860774,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41398886394650064,0.14285519429994986,0.0,0.0,0.3467281380567569,0.0,0.0,0.0,0.06748211117033757,0.053842262531948404,0.30674248328589154,0.0,0.26590061409543353,0.11335133800887442,0.044129797022860254,0.29499585109200954,0.16734893956425917,0.0,0.0,0.0,0.11569089781028818,0.029930036770580176,0.19217450482998163,0.009475360230429154,0.0,0.05427032778717592,0.05011167564508266,0.2677714330898038,0.16444965268721368,0.0,0.0,0.320135828496629,0.13832748104707335,0.3013023865616855,0.0637157998015458,0.0,0.0,0.015597745920911727,0.049370449719709136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15585383582422305,0.0,0.0,0.11332971290594619,0.0,0.8347928042977664,0.0,0.025567339415260307,0.0,0.38096023272570295,0.07696170645424458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1117273413491863,0.0,0.01256203206805926,0.0,0.0,0.0,0.13036951588236514,0.0,0.5067805131415433,0.09734770070494576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016623444885594106,0.0,0.15941200389111565,0.20781203989547647,0.0,0.10666465489137689,0.0,0.0,0.20011978489955698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9257346638005632,0.0,0.04377758353186571,0.40658092127797796,0.0,0.0,0.0,0.3383281592155837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset\ampul\ampul 19.png,ampul,0.002604,0.001588,0.002188,0.00194,0.002104,0.001836,0.001944,0.0025,0.002988,0.003788,0.005812,0.011552,0.021464,0.021904,0.008668,0.007184,0.004272,0.004668,0.002448,0.002352,0.002072,0.002488,0.002104,0.0015,0.855732,0.0223,0.02025641885561081,0.07437692643758846,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385011616984221,0.0905943750061553,0.0,0.0,0.04808806617482638,0.05183402680250116,0.0,0.0,0.07734956343554997,0.0,0.0,0.0,0.010571182674229256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46820270226899996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22686079557957184,0.0,0.0,0.15439175162627533,0.0,0.18502125560177315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017252404088341597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4576903492410668,0.0,0.31310707426666395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
